"","GEOID","B01003_001 POP","B19013_001 INCOME","B02001_002 RACE_W","B02001_003 RACE_B","B08134_111 CM_BIKE","B08134_011 CM_CAR","B08134_061 CM_PUB","B08134_101 CM_WALK","B08016_001 WORKERS16","ctract"
"33","42101002701",4234,55585,2300,774,346,711,548,287,2041,"002701"
"34","42101002702",4419,69493,3794,121,234,1374,518,211,2477,"002702"
"35","42101002801",4595,54340,1818,285,208,990,688,208,2127,"002801"
"36","42101002802",5596,61075,3927,389,311,1160,945,430,3068,"002802"
"37","42101002900",3945,60288,3183,55,188,658,749,320,2065,"002900"
"38","42101003001",3959,50054,1736,764,374,1073,582,223,2299,"003001"
"39","42101003002",2820,45060,1016,1608,143,540,640,143,1554,"003002"
"40","42101003100",4426,39153,1195,2660,311,922,665,88,2054,"003100"
"41","42101003200",4180,32115,489,3342,85,802,610,29,1567,"003200"
"42","42101003300",6203,35521,2749,2595,94,1191,885,258,2511,"003300"
"43","42101003600",7142,21836,1227,4393,104,1286,849,152,2391,"003600"
"44","42101003701",5859,38632,1020,3825,159,1126,1173,73,2554,"003701"
"45","42101003702",4221,32188,984,1717,41,888,621,70,1715,"003702"
"46","42101003800",4015,62071,3537,20,106,1163,474,123,1942,"003800"
"47","42101003901",6186,42161,4478,514,255,1330,1122,237,3235,"003901"
"48","42101003902",5800,63966,5589,17,137,1670,714,207,2919,"003902"
"49","42101004001",4165,55227,3223,138,265,764,1004,314,2502,"004001"
"50","42101004002",4757,56058,4081,194,150,1172,938,150,2452,"004002"
"51","42101004101",5637,34507,2167,847,86,921,800,192,2248,"004101"
"52","42101004102",8671,40958,3399,583,194,1542,1134,247,3275,"004102"
"53","42101004201",5326,50709,4450,47,176,1492,540,246,2527,"004201"
"54","42101004202",5651,47935,4045,218,237,1279,631,158,2363,"004202"
"55","42101005000",0,NA,0,0,0,0,0,0,0,"005000"
"56","42101005400",1577,54336,263,1109,15,593,88,44,777,"005400"
"57","42101005500",6321,59519,1056,4501,44,1887,997,25,3006,"005500"
"58","42101005600",1158,28802,66,1021,0,336,210,0,550,"005600"
"59","42101006000",6467,42143,703,4776,15,1495,776,0,2327,"006000"
"60","42101006100",2759,33533,282,2256,14,962,282,20,1288,"006100"
"61","42101006200",4994,31098,245,4488,78,833,906,48,1865,"006200"
"62","42101006300",4512,28140,139,3662,28,983,420,81,1546,"006300"
"63","42101006400",4430,28342,312,3729,92,1038,592,46,1768,"006400"
"64","42101006500",4426,29760,54,4321,22,403,1038,27,1490,"006500"
"65","42101006600",3471,22637,262,2799,12,557,356,52,977,"006600"
"66","42101006700",7082,36905,496,5745,129,1186,921,145,2435,"006700"
"67","42101006900",3479,19451,113,3272,0,178,545,148,891,"006900"
"68","42101007000",3529,33520,63,3403,101,487,634,0,1229,"007000"
"69","42101007101",2595,24875,93,2413,6,349,290,34,679,"007101"
"70","42101007102",4570,28321,229,4059,29,822,513,0,1390,"007102"
"71","42101007200",4466,33393,142,3907,38,746,463,108,1461,"007200"
"72","42101007300",2959,32165,370,2444,93,430,516,29,1124,"007300"
"73","42101007400",4720,38264,496,3793,83,1016,664,127,1957,"007400"
"74","42101007700",1872,40938,902,504,78,196,287,302,927,"007700"
"75","42101007800",4163,46907,2586,988,451,805,759,378,2432,"007800"
"76","42101007900",4463,63642,2456,1209,184,835,1123,364,2766,"007900"
"77","42101008000",3807,51875,959,2543,221,821,690,67,1845,"008000"
"78","42101008101",3179,27440,115,2989,0,431,440,41,912,"008101"
"79","42101008102",5354,26080,429,4895,24,1005,636,38,1746,"008102"
"80","42101008200",5882,34056,225,5474,0,1229,918,0,2227,"008200"
"81","42101008301",4628,34486,91,4391,71,819,467,56,1415,"008301"
"82","42101008302",5133,26214,90,4826,115,631,872,85,1727,"008302"
"83","42101008400",5050,38590,101,4743,49,834,750,184,1866,"008400"
"84","42101008500",6803,33429,478,5885,183,1013,1234,202,2779,"008500"
"85","42101008601",3312,52426,1699,904,167,512,881,250,1937,"008601"
"86","42101008602",2940,39394,635,1955,112,406,804,84,1435,"008602"
"87","42101008701",3667,43929,2042,669,250,773,564,742,2395,"008701"
"88","42101008702",2622,35643,1442,274,96,331,324,750,1617,"008702"
"89","42101008801",2289,31250,1189,272,31,71,110,621,958,"008801"
"90","42101008802",6303,22104,3205,1383,181,195,357,1782,2693,"008802"
"91","42101009000",6201,25515,4253,486,141,445,477,821,2064,"009000"
