STREET,INTERSECTI,ADDRESS,LONG.,LAT.
G ST,HUNTING PARK,G ST & E HUNTING PARK AVE,-75.11216241930,40.01208644770
BUSTLETON AV,LAWLER ST,BUSTLETON AVE & LAWLER ST,-75.02514251950,40.10995671260
ROOSEVELT BVLD,LANGDON ST,E ROOSEVELT BLVD & LANGDON ST,-75.09916996410,40.02740163140
TORRESDALE AV,ROBBINS AV,TORRESDALE AVE & ROBBINS ST,-75.05372604260,40.02051417800
ALLEGHENY AV,ARAMINGO AV,E ALLEGHENY AVE & ARAMINGO AVE,-75.10632634530,39.98852519730
ARAMINGO AV,ALLEGHENY AV,ARAMINGO AVE & E ALLEGHENY AVE,-75.10632634530,39.98852519730
ERIE AV,A ST,E ERIE AVE & A ST,-75.12517984950,40.00744516950
ERIE AV,A ST,E ERIE AVE & A ST,-75.12517984950,40.00744516950
ROOSEVELT BLVD,FAUNCE ST,E ROOSEVELT BLVD & FAUNCE ST,-75.05149608360,40.05046025970
STATE RD,I-95,STATE RD & RHAWN ST,-75.02176222540,40.03124650220
STATE RD,I-95,STATE RD & RHAWN ST,-75.02176222540,40.03124650220
ROOSEVELT BLVD,HALDMEAN AV,E ROOSEVELT BLVD & HALDEMAN AVE,-75.00864297300,40.10021229150
BUSTLETON AV,HALDMEAN AV,BUSTLETON AVE & HALDEMAN AVE,-75.03092856910,40.09405248580
FRANKFORD AVE,KNORR ST,FRANKFORD AVE & KNORR ST,-75.05097354410,40.03232582270
RIDGE AV,WALNUT LN,RIDGE AVE & WALNUT LN,-75.20943747130,40.02697058300
RIDGE AV,GREEN LN,RIDGE AVE & GREEN LN,-75.21593646690,40.03411752030
RIDGE AV,HERMITAGE ST,RIDGE AVE & HERMITAGE ST,-75.21876006370,40.03665586920
RIDGE AV,DOMINO LN,RIDGE AVE & DOMINO LN,-75.23204161070,40.04532922220
RIDGE AV,CATHEDRAL RD,RIDGE AVE & CATHEDRAL RD,-75.23966854460,40.06401817150
HENRY AV,INDIAN QUEEN,HENRY AVE & INDIAN QUEEN LN,-75.18416813690,40.01337012220
HENRY AV,SCHOOL HOUSE,HENRY AVE & W SCHOOL HOUSE,-75.19240532060,40.02049690800
WALNUT LN,HENRY AV,WALNUT LN & HENRY AVE,-75.20561601390,40.02866208320
HENRY AV,WALNUT LN,HENRY AVE & WALNUT LN,-75.20561601390,40.02866208320
RIDGE AV,MAIN ST,RIDGE AVE & MAIN ST,-75.20870022590,40.01548127640
OREGON AV,BROAD ST,OREGON AVE & S BROAD ST,-75.17142350110,39.91675865700
TASKER ST,BROAD ST,TASKER ST & S BROAD ST,-75.16842312560,39.93046667530
OREGON AV,20TH ST,OREGON AVE & S 20TH ST,-75.18090071280,39.91797227480
OREGON AV,21ST ST,OREGON AVE & S 21ST ST,-75.18282151040,39.91823358830
OREGON AV,21ST ST,OREGON AVE & S 21ST ST,-75.18282151040,39.91823358830
MORRIS ST,BROAD ST,MORRIS ST & S BROAD ST,-75.16868918310,39.92925737230
PASSYUNK AV,19TH ST,W PASSYUNK AVE & S 19TH ST,-75.17798328540,39.92395289140
BROAD ST,CHRISTIAN ST,S BROAD ST & CHRISTIAN ST,-75.16636151720,39.94003157990
BROAD ST,FEDERAL ST,S BROAD ST & FEDERAL ST,-75.16730335330,39.93569699400
BROAD ST,TASKER ST,S BROAD ST & TASKER ST,-75.16842312560,39.93046667530
BROAD ST,CURTIN ST,S BROAD ST & CURTIN ST,-75.17305269470,39.91051435710
