"","start_station","end_station","volume"
"577","Broad & Pattison, BSL","11th & Pine, Kahn Park",17
"578","Broad & Ritner","11th & Pine, Kahn Park",133
"579","Corinthian & Poplar","11th & Pine, Kahn Park",8
"580","Crescent Park","11th & Pine, Kahn Park",6
"581","Darien & Catharine","11th & Pine, Kahn Park",293
"582","Del. River Trail & Penn St.","11th & Pine, Kahn Park",54
"583","Dornsife Center","11th & Pine, Kahn Park",12
"584","Fairmount & Ridge","11th & Pine, Kahn Park",45
"585","Foglietta Plaza","11th & Pine, Kahn Park",241
"586","Frankford & Belgrade","11th & Pine, Kahn Park",44
"587","Free Library of Philadelphia - Central Library","11th & Pine, Kahn Park",101
"588","Front & Carpenter","11th & Pine, Kahn Park",162
"589","Girard & Hutchinson","11th & Pine, Kahn Park",10
"590","Girard Station, MFL","11th & Pine, Kahn Park",76
